product_id,category,date,daily_demand,is_holiday,is_promotion
Product_1,Books,2023-01-01,358,0,0
Product_1,Books,2023-01-02,30,0,0
Product_1,Books,2023-01-03,340,0,0
Product_1,Books,2023-01-04,369,0,0
Product_1,Books,2023-01-05,267,0,0
Product_1,Books,2023-01-06,395,0,0
Product_1,Books,2023-01-07,469,0,0
Product_1,Books,2023-01-08,354,0,0
Product_1,Books,2023-01-09,179,0,1
Product_1,Books,2023-01-10,280,0,0
Product_1,Books,2023-01-11,60,0,1
Product_1,Books,2023-01-12,140,0,0
Product_1,Books,2023-01-13,338,0,0
Product_1,Books,2023-01-14,325,0,0
Product_1,Books,2023-01-15,355,0,0
Product_1,Books,2023-01-16,376,0,0
Product_1,Books,2023-01-17,273,0,0
Product_1,Books,2023-01-18,429,0,0
Product_1,Books,2023-01-19,399,0,0
Product_1,Books,2023-01-20,486,1,0
Product_1,Books,2023-01-21,171,0,0
Product_1,Books,2023-01-22,360,1,0
Product_1,Books,2023-01-23,224,0,1
Product_1,Books,2023-01-24,222,0,0
Product_1,Books,2023-01-25,62,0,1
Product_1,Books,2023-01-26,197,0,0
Product_1,Books,2023-01-27,24,0,0
Product_1,Books,2023-01-28,18,0,0
Product_1,Books,2023-01-29,481,0,0
Product_1,Books,2023-01-30,401,0,0
Product_1,Books,2023-01-31,270,1,0
Product_1,Books,2023-02-01,37,0,0
Product_1,Books,2023-02-02,427,0,0
Product_1,Books,2023-02-03,71,0,0
Product_1,Books,2023-02-04,369,0,0
Product_1,Books,2023-02-05,236,0,0
Product_1,Books,2023-02-06,266,0,0
Product_1,Books,2023-02-07,407,0,0
Product_1,Books,2023-02-08,24,0,0
Product_1,Books,2023-02-09,188,0,0
Product_1,Books,2023-02-10,61,0,0
Product_1,Books,2023-02-11,494,0,0
Product_1,Books,2023-02-12,180,0,0
Product_1,Books,2023-02-13,336,0,0
Product_1,Books,2023-02-14,75,0,0
Product_1,Books,2023-02-15,143,0,0
Product_1,Books,2023-02-16,349,0,0
Product_1,Books,2023-02-17,357,0,0
Product_1,Books,2023-02-18,394,0,0
Product_1,Books,2023-02-19,125,0,0
Product_1,Books,2023-02-20,207,0,0
Product_1,Books,2023-02-21,174,0,0
